saturation,jig_type_dist,n_flights
80.0,0.0,49.0
20.0,0.0,142.0
50.0,0.0,149.0
50.0,1.0,156.0
50.0,1.0,6.0
80.0,1.0,159.0
80.0,0.0,11.0
80.0,2.0,6.0
80.0,0.0,9.0
20.0,2.0,112.0
20.0,0.0,13.0
50.0,2.0,96.0
20.0,0.0,3.0
80.0,1.0,6.0
20.0,0.0,135.0
50.0,2.0,101.0
80.0,0.0,136.0
80.0,0.0,87.0
50.0,0.0,50.0
80.0,1.0,36.0
80.0,2.0,7.0
50.0,1.0,41.0
20.0,1.0,195.0
80.0,0.0,18.0
80.0,0.0,21.0
20.0,0.0,43.0
50.0,1.0,142.0
50.0,1.0,15.0
80.0,1.0,187.0
20.0,1.0,54.0
50.0,0.0,3.0
20.0,1.0,105.0
50.0,0.0,184.0
20.0,0.0,125.0
80.0,1.0,44.0
20.0,1.0,4.0
50.0,0.0,55.0
50.0,0.0,163.0
20.0,1.0,26.0
20.0,1.0,47.0
50.0,0.0,75.0
80.0,0.0,103.0
50.0,0.0,8.0
50.0,1.0,57.0
50.0,1.0,5.0
50.0,2.0,53.0
50.0,1.0,9.0
80.0,0.0,60.0
80.0,1.0,16.0
80.0,2.0,11.0
80.0,1.0,106.0
80.0,2.0,111.0
20.0,1.0,121.0
50.0,2.0,73.0
80.0,2.0,13.0
50.0,1.0,166.0
50.0,0.0,104.0
50.0,1.0,150.0
80.0,2.0,119.0
80.0,1.0,5.0
20.0,1.0,11.0
20.0,2.0,65.0
50.0,0.0,148.0
80.0,2.0,3.0
80.0,0.0,80.0
50.0,2.0,38.0
20.0,2.0,23.0
50.0,0.0,20.0
20.0,0.0,3.0
80.0,2.0,131.0
80.0,0.0,5.0
50.0,1.0,93.0
20.0,1.0,86.0
50.0,1.0,8.0
80.0,0.0,28.0
50.0,0.0,130.0
50.0,1.0,3.0
20.0,1.0,50.0
80.0,2.0,11.0
80.0,1.0,34.0
20.0,0.0,152.0
20.0,2.0,42.0
80.0,1.0,32.0
50.0,0.0,42.0
20.0,1.0,8.0
20.0,1.0,139.0
20.0,2.0,59.0
80.0,2.0,179.0
20.0,0.0,161.0
20.0,0.0,19.0
80.0,1.0,43.0
50.0,1.0,78.0
80.0,2.0,48.0
50.0,2.0,177.0
50.0,2.0,129.0
20.0,2.0,13.0
80.0,1.0,3.0
50.0,2.0,181.0
20.0,0.0,67.0
80.0,2.0,85.0
50.0,0.0,71.0
80.0,0.0,122.0
80.0,2.0,58.0
20.0,2.0,173.0
50.0,1.0,12.0
80.0,0.0,21.0
80.0,1.0,23.0
50.0,2.0,4.0
20.0,2.0,34.0
20.0,0.0,113.0
80.0,2.0,190.0
20.0,1.0,7.0
20.0,1.0,9.0
20.0,0.0,157.0
50.0,1.0,175.0
20.0,2.0,29.0
80.0,1.0,84.0
80.0,2.0,61.0
20.0,0.0,183.0
50.0,0.0,75.0
50.0,1.0,117.0
50.0,2.0,167.0
50.0,2.0,82.0
80.0,0.0,15.0
80.0,2.0,4.0
20.0,0.0,133.0
20.0,0.0,63.0
50.0,1.0,109.0
50.0,0.0,31.0
50.0,0.0,128.0
20.0,0.0,107.0
50.0,2.0,33.0
20.0,0.0,122.0
20.0,1.0,20.0
20.0,0.0,94.0
80.0,0.0,3.0
80.0,2.0,5.0
50.0,1.0,3.0
80.0,1.0,17.0
20.0,2.0,35.0
20.0,2.0,4.0
80.0,0.0,25.0
50.0,1.0,5.0
20.0,2.0,3.0
50.0,2.0,165.0
20.0,2.0,171.0
20.0,1.0,48.0
50.0,0.0,198.0
80.0,1.0,97.0
50.0,1.0,39.0
50.0,2.0,72.0
50.0,2.0,157.0
80.0,2.0,21.0
50.0,1.0,10.0
80.0,2.0,154.0
50.0,2.0,124.0
50.0,0.0,6.0
80.0,0.0,37.0
80.0,0.0,79.0
